Team,Team_ID,Rank,Record,Auto,SP,Avg_Pts,Quality_Score,Std_Dev,Trend,Trend_Delta,Skills,Past_Wins,ML_Win_Prob,ML_Prediction,ML_Tier,Traditional_Cat,Composite_Score,Synergy_Score,Partner_Score
2982X,184675,1,8-0-1,8.89,19.9,77.5,76.9,23.8,↓,-5.8,96,5,0.5767471909888586,1,✅ ML STRONG,🏆 ELITE,157.67,45,152.67471909888587
9364V,82736,2,8-1-0,8.89,19.0,69.7,68.6,36.4,↓,-31.6,96,4,0.5775287329710642,1,✅ ML STRONG,🏆 ELITE,131.09,45,136.08620663043976
2142S,153722,4,8-1-0,7.22,20.7,70.3,69.5,32.8,↑,15.0,40,8,0.3160433924440922,0,⚠️ ML RISKY,🏆 ELITE,131.6,45,96.60433924440922
169A,8548,3,8-1-0,7.78,17.9,66.5,66.4,30.2,↓,-21.0,0,1,0.14512773175272273,0,❌ ML AVOID,🏆 ELITE,49.51,45,84.51277317527227
4478N,139516,10,8-1-0,6.67,21.0,48.3,54.2,19.0,↓,-6.2,76,3,0.09673268244564472,0,❌ ML AVOID,🚀 SLEEPER,48.76,55,73.76417733547356
9039Z,139939,8,7-2-0,8.33,18.6,59.0,59.9,27.3,↓,-18.0,60,8,0.07188835955027514,0,❌ ML AVOID,📊 SOLID,98.3,45,63.29994706613863
2602K,101054,14,8-1-0,3.33,19.0,59.4,60.2,24.2,↓,-11.6,86,3,0.392700291429392,0,⚠️ ML RISKY,🚀 SLEEPER,75.94,15,60.936695809605865
78889X,145507,11,8-1-0,6.11,18.0,68.1,65.2,33.7,↑,29.0,36,1,0.036857229021475355,0,❌ ML AVOID,🚀 SLEEPER,22.02,45,57.01905623548087
5150D,19294,18,7-2-0,6.67,21.9,57.7,57.9,21.5,↓,-13.0,65,4,0.04395304912087441,0,❌ ML AVOID,🚀 SLEEPER,49.66,45,54.65846280682428
1795X,185772,26,5-4-0,6.67,27.1,45.3,48.6,20.7,↓,-26.8,79,1,0.05313741121353134,0,❌ ML AVOID,🚀 SLEEPER,19.02,45,54.017444825056835
99125Z,175245,16,6-3-0,7.78,17.4,65.5,61.2,31.1,↓,-15.0,0,0,0.02770495492421215,0,❌ ML AVOID,📊 SOLID,8.65,45,53.65284843359769
2982Z,190765,17,7-2-0,6.67,23.1,57.5,58.1,31.6,↓,-27.4,0,3,0.028213050385329126,0,❌ ML AVOID,🚀 SLEEPER,38.38,45,53.37686059408847
119B,143228,19,7-2-0,6.11,19.7,61.0,59.2,27.9,↑,5.6,32,3,0.025820977311489034,0,❌ ML AVOID,🚀 SLEEPER,37.58,45,52.582097731148906
3773P,144474,22,6-3-0,7.78,30.0,58.2,59.5,26.4,↓,-38.0,70,4,0.01746259790162701,0,❌ ML AVOID,🚀 SLEEPER,46.09,45,51.09408587711923
25600Y,112643,24,5-4-0,8.89,32.2,56.4,57.9,33.4,↑,29.8,64,0,0.016704219009365966,0,❌ ML AVOID,⚡ PEAKING,5.67,45,50.670421900936596
9364E,56849,35,5-4-0,6.67,22.7,52.6,49.5,24.9,↑,17.1,69,3,0.021495455057319666,0,❌ ML AVOID,🚀 SLEEPER,34.93,45,49.92732328350974
5150H,69586,40,4-5-0,6.67,17.4,48.0,44.0,34.4,↓,-20.5,56,0,0.01875498433796738,0,❌ ML AVOID,📊 SOLID,4.31,45,49.31452282404064
119X,170210,33,5-4-0,7.78,25.6,49.5,48.5,22.8,→,-2.7,45,1,0.01292749658002736,0,❌ ML AVOID,🚀 SLEEPER,14.23,45,49.233926128590966
2622T,175732,34,4-4-1,6.67,30.0,43.8,46.4,20.3,→,1.0,33,0,0.011410068695411977,0,❌ ML AVOID,📊 SOLID,4.0,45,48.998149726684055
4478W,130675,39,3-5-1,6.67,21.0,46.4,44.1,26.5,↑,24.2,27,0,0.011704219009365966,0,❌ ML AVOID,⚡ PEAKING,3.67,45,48.670421900936596
78889W,145508,56,3-6-0,6.67,28.2,48.0,45.1,26.6,↓,-26.8,20,0,0.00875498433796738,0,❌ ML AVOID,📊 SOLID,2.63,45,47.62988439870902
9909M,142438,5,7-2-0,5.56,19.8,58.9,61.3,30.7,↑,29.4,76,2,0.13461125669664414,0,❌ ML AVOID,🏆 ELITE,50.13,15,45.12779233633108
7405R,122732,13,7-2-0,5.56,15.2,56.8,57.5,23.7,↓,-5.4,85,5,0.22468770672181593,0,❌ ML AVOID,🚀 SLEEPER,79.61,15,44.61162781503874
62880D,170102,6,8-1-0,5.0,21.8,69.1,68.0,27.8,↑,13.8,40,0,0.1488549004155514,0,❌ ML AVOID,⚠️ FRAUD,29.17,15,44.17120432726943
9909V,127341,7,9-0-0,3.89,22.7,59.4,62.5,14.2,↑,9.5,64,4,0.057861562278447874,0,❌ ML AVOID,⚡ PEAKING,58.29,25,43.286156227844785
2602E,73754,15,7-2-0,4.44,30.1,52.8,58.5,27.6,→,2.8,78,0,0.1516175094313032,0,❌ ML AVOID,📊 SOLID,21.41,15,36.41175094313032
62880C,154078,20,7-2-0,5.56,27.6,53.5,57.1,17.0,↓,-16.4,71,1,0.043855096451805055,0,❌ ML AVOID,🚀 SLEEPER,19.15,25,34.147414407085265
77275A,113516,80,0-9-0,2.22,17.9,17.9,16.1,7.7,→,0.2,19,0,0.0,0,❌ ML AVOID,📊 SOLID,1.23,30,31.234567901234566
344E,143554,42,3-6-0,5.56,27.4,28.9,35.6,16.2,↓,-17.0,53,2,0.007446320405398296,0,❌ ML AVOID,🚀 SLEEPER,23.07,25,28.070213435888668
839Z,108761,12,6-3-0,5.56,24.1,59.5,61.8,36.6,↓,-13.4,66,1,0.04831233347568831,0,❌ ML AVOID,🚀 SLEEPER,22.52,15,27.523541039876523
1165A,157126,49,4-4-1,1.11,20.2,28.3,33.0,19.2,↑,17.0,0,0,0.004599206349206349,0,❌ ML AVOID,⚡ PEAKING,2.46,25,27.459920634920636
78889N,154399,67,3-6-0,2.22,26.9,31.0,33.4,12.7,↑,8.5,28,0,0.006813186982737873,0,❌ ML AVOID,⚡ PEAKING,2.15,25,27.151906933567908
3773Y,94609,62,2-7-0,5.56,23.6,30.2,31.9,19.9,→,-2.5,16,0,0.0,0,❌ ML AVOID,📊 SOLID,1.59,25,26.58730158730159
58566A,83006,63,3-6-0,5.0,23.8,29.2,31.4,15.4,↓,-7.2,5,0,0.0,0,❌ ML AVOID,📊 SOLID,1.56,25,26.5625
5156G,93904,69,2-6-1,2.22,16.7,33.8,32.0,19.5,↓,-21.8,11,0,0.0,0,❌ ML AVOID,📊 SOLID,1.43,25,26.428571428571427
2142X,161338,72,2-7-0,3.33,30.9,37.1,35.9,18.2,↑,7.0,0,0,0.0,0,❌ ML AVOID,📊 SOLID,1.37,25,26.36986301369863
77275C,127299,74,2-7-0,2.22,29.0,35.6,34.5,16.3,↓,-19.8,20,1,0.0,0,❌ ML AVOID,🚀 SLEEPER,11.33,25,26.333333333333332
58566B,112642,78,1-8-0,2.22,23.6,26.3,25.1,13.9,↑,11.0,19,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.27,25,26.265822784810126
62880A,100219,25,6-3-0,4.44,30.9,59.8,59.5,20.2,→,-2.7,84,3,0.06635392904767623,0,❌ ML AVOID,🚀 SLEEPER,40.48,15,25.48154675092147
4478B,26089,59,2-7-0,4.44,26.2,43.3,41.6,34.3,→,-4.6,87,2,0.06347231802647933,0,❌ ML AVOID,🚀 SLEEPER,28.01,15,23.0138984693146
8889A,153219,21,6-3-0,5.56,18.4,74.1,66.7,38.3,↓,-25.8,66,4,0.03432196924654111,0,❌ ML AVOID,🚀 SLEEPER,47.98,15,22.977651470108658
8568A,58826,9,7-2-0,6.67,27.3,55.9,60.6,22.8,↓,-19.0,72,2,0.10080048913881905,0,❌ ML AVOID,📊 SOLID,40.08,0,20.080048913881903
2498Z,184649,27,5-4-0,5.56,18.0,49.9,48.6,30.1,↓,-7.2,34,0,0.009257898603967672,0,❌ ML AVOID,📊 SOLID,4.5,15,19.49721843182534
5150F,54759,29,5-4-0,3.89,33.1,48.9,52.6,23.8,↓,-8.8,21,0,0.00961886131988648,0,❌ ML AVOID,📊 SOLID,4.3,15,19.29521946532198
5150K,117779,28,6-3-0,4.44,27.6,40.6,45.9,23.5,↓,-24.5,57,0,0.007965512167627302,0,❌ ML AVOID,📊 SOLID,4.24,15,19.244827078831694
92973B,176185,23,6-3-0,5.0,34.8,48.8,55.3,24.1,→,-4.0,42,0,0.0,0,❌ ML AVOID,📊 SOLID,4.17,15,19.166666666666668
33269B,172921,31,5-4-0,4.44,21.7,38.7,41.9,25.2,↑,37.2,0,0,0.00989339244247414,0,❌ ML AVOID,⚡ PEAKING,4.11,15,19.114339244247414
12C,4096,43,4-5-0,5.56,19.2,49.2,45.3,28.6,↑,30.8,73,3,0.01733967706855864,0,❌ ML AVOID,🚀 SLEEPER,34.01,15,19.006694979583138
119W,143233,41,4-5-0,5.56,29.0,49.3,48.3,31.6,↓,-27.5,0,0,0.013822607988169073,0,❌ ML AVOID,📊 SOLID,3.76,15,18.763213179769288
35075K,186724,30,5-4-0,4.44,30.4,45.4,48.6,24.5,↓,-19.8,37,0,0.0,0,❌ ML AVOID,📊 SOLID,3.23,15,18.225806451612904
2616V,151666,32,5-4-0,3.89,26.8,47.8,48.9,22.7,↓,-12.0,40,0,0.0,0,❌ ML AVOID,📊 SOLID,3.03,15,18.03030303030303
97934H,140015,38,5-4-0,3.33,19.6,44.2,43.5,27.7,→,-3.2,23,1,0.004599206349206349,0,❌ ML AVOID,🚀 SLEEPER,13.02,15,18.0240231990232
7405M,62637,36,4-5-0,5.0,24.0,36.9,40.4,31.1,↓,-26.2,53,0,0.0,0,❌ ML AVOID,📊 SOLID,2.7,15,17.7027027027027
8030A,57454,37,5-4-0,4.44,28.6,52.6,51.2,29.3,↑,13.5,0,2,0.0,0,❌ ML AVOID,🚀 SLEEPER,22.63,15,17.63157894736842
169B,8551,44,4-4-1,4.44,33.6,46.8,48.2,24.9,↓,-41.2,0,0,0.00396374829001368,0,❌ ML AVOID,📊 SOLID,2.62,15,17.618597051223592
12A,4086,64,3-6-0,4.44,25.8,42.6,40.0,25.5,↑,12.8,0,0,0.01,0,❌ ML AVOID,⚡ PEAKING,2.54,15,17.53846153846154
2142B,51034,54,4-5-0,2.78,16.7,36.2,35.6,31.5,↑,14.2,0,0,0.004257898603967671,0,❌ ML AVOID,⚡ PEAKING,2.24,15,17.243971678578585
12S,26668,45,4-5-0,4.44,17.6,38.4,38.3,28.7,→,2.2,32,0,0.0,0,❌ ML AVOID,📊 SOLID,2.17,15,17.17391304347826
46V,139683,46,4-5-0,3.33,22.7,37.3,39.2,24.3,↑,6.8,0,0,0.0,0,❌ ML AVOID,📊 SOLID,2.13,15,17.127659574468083
15797A,107334,47,4-5-0,3.33,21.9,45.3,43.7,27.9,↓,-7.0,68,0,0.0,0,❌ ML AVOID,📊 SOLID,2.08,15,17.083333333333332
2142Z,138955,57,3-5-1,5.56,20.2,38.2,36.8,24.1,→,1.0,0,0,0.0034825721153846157,0,❌ ML AVOID,📊 SOLID,2.07,15,17.072395142572944
77275B,127298,48,4-5-0,2.22,24.9,42.9,43.2,22.8,↑,6.2,53,3,0.0,0,❌ ML AVOID,🚀 SLEEPER,32.04,15,17.040816326530614
2498B,185178,50,4-5-0,5.56,27.9,42.4,42.7,27.3,↓,-38.0,46,0,0.0,0,❌ ML AVOID,📊 SOLID,1.96,15,16.96078431372549
33269C,175544,51,4-5-0,4.44,31.0,47.7,46.8,22.7,↓,-31.5,28,0,0.0,0,❌ ML AVOID,📊 SOLID,1.92,15,16.923076923076923
35075B,133493,52,4-5-0,4.44,19.2,37.0,36.9,25.9,↑,12.8,28,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.89,15,16.88679245283019
78889S,154394,53,4-5-0,3.33,24.3,37.1,38.5,22.5,↓,-16.5,46,0,0.0,0,❌ ML AVOID,📊 SOLID,1.85,15,16.85185185185185
2142R,171247,73,2-7-0,2.78,14.8,20.4,21.1,19.3,↓,-20.5,0,0,0.004725468877412341,0,❌ ML AVOID,📊 SOLID,1.82,15,16.823898239092586
9909C,68314,55,4-5-0,1.11,24.4,36.9,38.4,20.6,↓,-12.5,27,0,0.0,0,❌ ML AVOID,📊 SOLID,1.79,15,16.785714285714285
2502S,170211,58,2-6-1,5.0,22.9,35.6,36.0,28.7,↓,-9.8,17,0,0.0,0,❌ ML AVOID,📊 SOLID,1.69,15,16.694915254237287
7405N,70411,60,3-6-0,3.89,23.3,41.7,39.8,23.0,↑,12.8,43,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.64,15,16.639344262295083
2616N,67868,79,1-8-0,2.22,12.9,19.4,17.7,15.9,↑,8.8,16,0,0.0037076135636596296,0,❌ ML AVOID,⚡ PEAKING,1.62,15,16.62076135636596
35075A,130515,61,3-6-0,2.22,27.3,42.0,41.2,27.6,↑,6.2,61,0,0.0,0,❌ ML AVOID,📊 SOLID,1.61,15,16.612903225806452
97934U,64359,65,3-6-0,4.44,23.6,49.0,43.2,36.9,↑,38.0,38,3,0.0,0,❌ ML AVOID,🚀 SLEEPER,31.52,15,16.515151515151516
119P,180035,66,3-6-0,4.44,19.4,36.4,34.4,27.1,↑,43.8,46,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.49,15,16.492537313432837
12Z,26689,68,3-6-0,2.22,20.8,33.3,32.9,23.5,↑,23.5,22,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.45,15,16.44927536231884
3773C,162918,70,2-7-0,4.44,21.6,31.3,30.9,24.4,↑,20.2,54,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.41,15,16.408450704225352
4478H,142617,71,2-7-0,4.44,19.9,29.2,27.9,24.6,↑,29.0,15,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.39,15,16.38888888888889
4898A,18625,75,2-7-0,1.11,19.6,32.7,29.9,27.8,↓,-34.8,36,3,0.0,0,❌ ML AVOID,🚀 SLEEPER,31.32,15,16.315789473684212
9039F,125705,76,1-8-0,2.22,32.1,34.0,33.3,21.5,→,-3.2,0,0,0.0,0,❌ ML AVOID,📊 SOLID,1.3,15,16.2987012987013
5156B,62947,77,1-8-0,2.22,18.0,28.9,26.0,29.2,↑,26.5,5,0,0.0,0,❌ ML AVOID,⚡ PEAKING,1.28,15,16.28205128205128
