Team,Team_ID,Rank,Record,Auto,SP,Avg_Pts,Std_Dev,Trend,Trend_Delta,Skills,Past_Wins,ML_Win_Prob,ML_Prediction,ML_Tier,Traditional_Cat,Composite_Score
9364V,82736,2,8-1-0,8.89,19.0,69.7,36.4,↓,-31.6,96,4,0.8617892904691432,1,🎯 ML TOP PICK,🏆 ELITE,159.51
2982X,184675,1,8-0-1,8.89,19.9,77.5,23.8,↓,-5.8,96,5,0.5851777150315871,1,✅ ML STRONG,🏆 ELITE,158.52
7405R,122732,13,7-2-0,5.56,15.2,56.8,23.7,↓,-5.4,85,5,0.7590498095562629,1,🎯 ML TOP PICK,🚀 SLEEPER,133.05
2142S,153722,4,8-1-0,7.22,20.7,70.3,32.8,↑,15.0,40,8,0.3111507964673632,0,⚠️ ML RISKY,🏆 ELITE,131.12
9039Z,139939,8,7-2-0,8.33,18.6,59.0,27.3,↓,-18.0,60,8,0.32651137187931545,0,⚠️ ML RISKY,📊 SOLID,123.76
2602K,101054,14,8-1-0,3.33,19.0,59.4,24.2,↓,-11.6,86,3,0.8047406044232038,1,🎯 ML TOP PICK,🚀 SLEEPER,117.14
9909M,142438,5,7-2-0,5.56,19.8,58.9,30.7,↑,29.4,76,2,0.40427141978884,0,⚠️ ML RISKY,🏆 ELITE,77.09
169A,8548,3,8-1-0,7.78,17.9,66.5,30.2,↓,-21.0,0,1,0.41435664873301137,0,⚠️ ML RISKY,🏆 ELITE,76.44
5150D,19294,18,7-2-0,6.67,21.9,57.7,21.5,↓,-13.0,65,4,0.25272236394155373,0,❌ ML AVOID,🚀 SLEEPER,70.54
9909V,127341,7,9-0-0,3.89,22.7,59.4,14.2,↑,9.5,64,4,0.14697042327311052,0,❌ ML AVOID,⚡ PEAKING,67.2
8568A,58826,9,7-2-0,6.67,27.3,55.9,22.8,↓,-19.0,72,2,0.332758936264425,0,⚠️ ML RISKY,📊 SOLID,63.28
8889A,153219,21,6-3-0,5.56,18.4,74.1,38.3,↓,-25.8,66,4,0.12483390106305774,0,❌ ML AVOID,🚀 SLEEPER,57.03
119B,143228,19,7-2-0,6.11,19.7,61.0,27.9,↑,5.6,32,3,0.2054437447203729,0,❌ ML AVOID,🚀 SLEEPER,55.54
4478N,139516,10,8-1-0,6.67,21.0,48.3,19.0,↓,-6.2,76,3,0.12010118953050813,0,❌ ML AVOID,🚀 SLEEPER,51.1
3773P,144474,22,6-3-0,7.78,30.0,58.2,26.4,↓,-38.0,70,4,0.05983558337264482,0,❌ ML AVOID,🚀 SLEEPER,50.33
2982Z,190765,17,7-2-0,6.67,23.1,57.5,31.6,↓,-27.4,0,3,0.10171208589058017,0,❌ ML AVOID,🚀 SLEEPER,45.73
62880A,100219,25,6-3-0,4.44,30.9,59.8,20.2,→,-2.7,84,3,0.051634287394184845,0,❌ ML AVOID,🚀 SLEEPER,39.01
2602E,73754,15,7-2-0,4.44,30.1,52.8,27.6,→,2.8,78,0,0.28610923032683383,0,❌ ML AVOID,📊 SOLID,34.86
9364E,56849,35,5-4-0,6.67,22.7,52.6,24.9,↑,17.1,69,3,0.01717049663380542,0,❌ ML AVOID,🚀 SLEEPER,34.49
12C,4096,43,4-5-0,5.56,19.2,49.2,28.6,↑,30.8,73,3,0.016235163327644395,0,❌ ML AVOID,🚀 SLEEPER,33.9
77275B,127298,48,4-5-0,2.22,24.9,42.9,22.8,↑,6.2,53,3,0.0,0,❌ ML AVOID,🚀 SLEEPER,32.04
97934U,64359,65,3-6-0,4.44,23.6,49.0,36.9,↑,38.0,38,3,0.005,0,❌ ML AVOID,🚀 SLEEPER,32.02
